GO	term_name
GO:0006430	lysyl-tRNA aminoacylation
GO:0016712	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen
GO:0006897	endocytosis
GO:0007229	integrin-mediated signaling pathway
GO:0032440	2-alkenal reductase [NAD(P)+] activity
GO:0047522	15-oxoprostaglandin 13-oxidase activity
GO:0070569	uridylyltransferase activity
GO:0000786	nucleosome
GO:0000077	DNA damage checkpoint signaling
GO:0031124	mRNA 3'-end processing
GO:0003987	acetate-CoA ligase activity
GO:0016208	AMP binding
GO:0019427	acetyl-CoA biosynthetic process from acetate
GO:0006406	mRNA export from nucleus
GO:0030123	AP-3 adaptor complex
GO:0016874	ligase activity
GO:0030414	peptidase inhibitor activity
GO:0005669	transcription factor TFIID complex
GO:0045454	cell redox homeostasis
GO:0016012	sarcoglycan complex
GO:0004476	mannose-6-phosphate isomerase activity
GO:0009298	GDP-mannose biosynthetic process
GO:0016746	acyltransferase activity
GO:0000387	spliceosomal snRNP assembly
GO:0032797	SMN complex
GO:0005267	potassium channel activity
GO:0071805	potassium ion transmembrane transport
GO:0005789	endoplasmic reticulum membrane
GO:0001733	galactosylceramide sulfotransferase activity
GO:0005794	Golgi apparatus
GO:0009247	glycolipid biosynthetic process
GO:0005887	NA
GO:0010756	positive regulation of plasminogen activation
GO:0004435	phosphatidylinositol phospholipase C activity
GO:0006629	lipid metabolic process
GO:0008081	phosphoric diester hydrolase activity
GO:0006298	mismatch repair
GO:0030983	mismatched DNA binding
GO:0008233	peptidase activity
GO:0016972	thiol oxidase activity
GO:0008478	pyridoxal kinase activity
GO:0009443	pyridoxal 5'-phosphate salvage
GO:0006850	mitochondrial pyruvate transmembrane transport
GO:0005544	calcium-dependent phospholipid binding
GO:0007166	cell surface receptor signaling pathway
GO:0045892	negative regulation of DNA-templated transcription
GO:0004826	phenylalanine-tRNA ligase activity
GO:0006432	phenylalanyl-tRNA aminoacylation
GO:0004392	heme oxygenase (decyclizing) activity
GO:0006788	heme oxidation
GO:0008442	3-hydroxyisobutyrate dehydrogenase activity
GO:0050661	NADP binding
GO:0017176	phosphatidylinositol N-acetylglucosaminyltransferase activity
GO:0005795	Golgi stack
GO:0008455	alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity
GO:0009312	oligosaccharide biosynthetic process
GO:0004588	orotate phosphoribosyltransferase activity
GO:0004590	orotidine-5'-phosphate decarboxylase activity
GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process
GO:0006221	pyrimidine nucleotide biosynthetic process
GO:0044205	'de novo' UMP biosynthetic process
GO:0015293	symporter activity
GO:0070449	elongin complex
GO:0004525	ribonuclease III activity
GO:0004866	endopeptidase inhibitor activity
GO:0005615	extracellular space
GO:0000122	negative regulation of transcription by RNA polymerase II
GO:0003714	transcription corepressor activity
GO:0016272	prefoldin complex
GO:0004190	aspartic-type endopeptidase activity
GO:0004813	alanine-tRNA ligase activity
GO:0006419	alanyl-tRNA aminoacylation
GO:0043039	tRNA aminoacylation
GO:0003951	NAD+ kinase activity
GO:0004143	ATP-dependent diacylglycerol kinase activity
GO:0007205	protein kinase C-activating G protein-coupled receptor signaling pathway
GO:0016301	kinase activity
GO:0004348	glucosylceramidase activity
GO:0006665	sphingolipid metabolic process
GO:0031461	cullin-RING ubiquitin ligase complex
GO:0031625	ubiquitin protein ligase binding
GO:0000737	NA
GO:0006259	DNA metabolic process
GO:0016889	DNA endonuclease activity, producing 3'-phosphomonoesters
GO:0052689	carboxylic ester hydrolase activity
GO:0003707	nuclear steroid receptor activity
GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum
GO:0002161	aminoacyl-tRNA editing activity
GO:0031409	pigment binding
GO:0031023	microtubule organizing center organization
GO:0070006	metalloaminopeptidase activity
GO:0006914	autophagy
GO:0043015	gamma-tubulin binding
GO:0043140	NA
GO:0044237	cellular metabolic process
GO:0007059	chromosome segregation
GO:0051301	cell division
GO:0008484	sulfuric ester hydrolase activity
GO:0051180	vitamin transport
GO:0090482	vitamin transmembrane transporter activity
GO:0035240	dopamine binding
GO:0072544	L-DOPA binding
GO:0072545	tyrosine binding
GO:0004013	adenosylhomocysteinase activity
GO:0004817	cysteine-tRNA ligase activity
GO:0006423	cysteinyl-tRNA aminoacylation
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules
GO:0008290	F-actin capping protein complex
GO:0030036	actin cytoskeleton organization
GO:0051016	barbed-end actin filament capping
GO:0015204	urea transmembrane transporter activity
GO:0071918	urea transmembrane transport
GO:0008138	protein tyrosine/serine/threonine phosphatase activity
GO:0004602	glutathione peroxidase activity
GO:0034551	mitochondrial respiratory chain complex III assembly
GO:0000930	gamma-tubulin complex
GO:0007020	microtubule nucleation
GO:0031122	cytoplasmic microtubule organization
GO:0005044	scavenger receptor activity
GO:0008519	ammonium transmembrane transporter activity
GO:0015696	NA
GO:0005673	transcription factor TFIIE complex
GO:0000159	protein phosphatase type 2A complex
GO:0019888	protein phosphatase regulator activity
GO:0004828	serine-tRNA ligase activity
GO:0006434	seryl-tRNA aminoacylation
GO:0009086	methionine biosynthetic process
GO:0047150	betaine-homocysteine S-methyltransferase activity
GO:0005890	sodium:potassium-exchanging ATPase complex
GO:0005086	NA
GO:0032012	regulation of ARF protein signal transduction
GO:0004014	adenosylmethionine decarboxylase activity
GO:0006597	spermine biosynthetic process
GO:0008295	spermidine biosynthetic process
GO:5515	NA
GO:0003796	lysozyme activity
GO:0004890	GABA-A receptor activity
GO:0005829	cytosol
GO:0000256	allantoin catabolic process
GO:0004037	allantoicase activity
GO:0008521	acetyl-CoA transmembrane transporter activity
GO:0003697	single-stranded DNA binding
GO:0008528	G protein-coupled peptide receptor activity
GO:0007064	mitotic sister chromatid cohesion
GO:0031390	Ctf18 RFC-like complex
GO:0004518	nuclease activity
GO:0004519	endonuclease activity
GO:0007030	Golgi organization
GO:0008408	3'-5' exonuclease activity
GO:0032259	methylation
GO:0000118	histone deacetylase complex
GO:0004407	histone deacetylase activity
GO:0006325	chromatin organization
GO:0016575	histone deacetylation
GO:0006464	NA
GO:0006030	chitin metabolic process
GO:0008061	chitin binding
GO:0019915	lipid storage
GO:0004571	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity
GO:0005886	plasma membrane
GO:0007155	cell adhesion
GO:0000123	histone acetyltransferase complex
GO:0016573	histone acetylation
GO:1903818	positive regulation of voltage-gated potassium channel activity
GO:0030431	sleep
GO:0032222	regulation of synaptic transmission, cholinergic
GO:0034235	GPI anchor binding
GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
GO:0008641	ubiquitin-like modifier activating enzyme activity
GO:0016853	isomerase activity
GO:0004000	adenosine deaminase activity
GO:0006154	adenosine catabolic process
GO:0019239	deaminase activity
GO:0023052	signaling
GO:0005516	calmodulin binding
GO:0030507	spectrin binding
GO:0031175	neuron projection development
GO:0004843	cysteine-type deubiquitinase activity
GO:0008349	MAP kinase kinase kinase kinase activity
GO:0071949	FAD binding
GO:0008610	lipid biosynthetic process
GO:0007219	Notch signaling pathway
GO:0030154	cell differentiation
GO:0050793	regulation of developmental process
GO:0089701	U2AF complex
GO:0016651	oxidoreductase activity, acting on NAD(P)H
GO:0016884	carbon-nitrogen ligase activity, with glutamine as amido-N-donor
GO:0004713	protein tyrosine kinase activity
GO:0006812	monoatomic cation transport
GO:0015299	NA
GO:0042981	regulation of apoptotic process
GO:0030286	dynein complex
GO:0007010	cytoskeleton organization
GO:0003950	NAD+ ADP-ribosyltransferase activity
GO:0005643	nuclear pore
GO:0016973	poly(A)+ mRNA export from nucleus
GO:0004499	N,N-dimethylaniline monooxygenase activity
GO:0005375	copper ion transmembrane transporter activity
GO:0035434	copper ion transmembrane transport
GO:0005247	voltage-gated chloride channel activity
GO:0006821	chloride transport
GO:0019843	rRNA binding
GO:0005741	mitochondrial outer membrane
GO:0008308	voltage-gated monoatomic anion channel activity
GO:0098656	monoatomic anion transmembrane transport
GO:0016891	RNA endonuclease activity, producing 5'-phosphomonoesters
GO:0006885	regulation of pH
GO:0015385	sodium:proton antiporter activity
GO:0010038	response to metal ion
GO:0032977	membrane insertase activity
GO:0016670	oxidoreductase activity, acting on a sulfur group of donors, oxygen as acceptor
GO:0030328	prenylcysteine catabolic process
GO:0004055	argininosuccinate synthase activity
GO:0006526	arginine biosynthetic process
GO:0016779	nucleotidyltransferase activity
GO:0008299	isoprenoid biosynthetic process
GO:0000151	ubiquitin ligase complex
GO:0016567	protein ubiquitination
GO:0034450	ubiquitin-ubiquitin ligase activity
GO:0005680	anaphase-promoting complex
GO:0030071	regulation of mitotic metaphase/anaphase transition
GO:0031145	anaphase-promoting complex-dependent catabolic process
GO:0005520	insulin-like growth factor binding
GO:0004983	neuropeptide Y receptor activity
GO:0046332	SMAD binding
GO:0004623	phospholipase A2 activity
GO:0006644	phospholipid metabolic process
GO:0050482	arachidonic acid secretion
GO:0004814	arginine-tRNA ligase activity
GO:0006420	arginyl-tRNA aminoacylation
GO:0004799	thymidylate synthase activity
GO:0006231	dTMP biosynthetic process
GO:0004611	phosphoenolpyruvate carboxykinase activity
GO:0004613	phosphoenolpyruvate carboxykinase (GTP) activity
GO:0006094	gluconeogenesis
GO:0017076	purine nucleotide binding
GO:0004584	NA
GO:0030956	glutamyl-tRNA(Gln) amidotransferase complex
GO:0050567	glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity
GO:0005319	lipid transporter activity
GO:0044249	cellular biosynthetic process
GO:0009055	electron transfer activity
GO:0015035	protein-disulfide reductase activity
GO:0003908	methylated-DNA-[protein]-cysteine S-methyltransferase activity
GO:0005884	actin filament
GO:0045010	actin nucleation
GO:0030155	regulation of cell adhesion
GO:0030334	regulation of cell migration
GO:0045995	regulation of embryonic development
GO:0016042	lipid catabolic process
GO:0004357	glutamate-cysteine ligase activity
GO:0006750	glutathione biosynthetic process
GO:0016209	antioxidant activity
GO:0030488	tRNA methylation
GO:0031515	tRNA (m1A) methyltransferase complex
GO:0004648	O-phospho-L-serine:2-oxoglutarate aminotransferase activity
GO:0006564	L-serine biosynthetic process
GO:0004527	exonuclease activity
GO:0003993	acid phosphatase activity
GO:0004726	non-membrane spanning protein tyrosine phosphatase activity
GO:0005832	chaperonin-containing T-complex
GO:0016435	rRNA (guanine) methyltransferase activity
GO:0070476	rRNA (guanine-N7)-methylation
GO:0071203	WASH complex
GO:0006606	protein import into nucleus
GO:0061608	nuclear import signal receptor activity
GO:0000049	tRNA binding
GO:0004822	isoleucine-tRNA ligase activity
GO:0006428	isoleucyl-tRNA aminoacylation
GO:0035658	Mon1-Ccz1 complex
GO:0004784	superoxide dismutase activity
GO:0006801	superoxide metabolic process
GO:0002098	tRNA wobble uridine modification
GO:0004332	fructose-bisphosphate aldolase activity
GO:0006452	translational frameshifting
GO:0043022	ribosome binding
GO:0045901	positive regulation of translational elongation
GO:0045905	positive regulation of translational termination
GO:0033227	dsRNA transport
GO:0051033	RNA transmembrane transporter activity
GO:0004751	ribose-5-phosphate isomerase activity
GO:0009052	pentose-phosphate shunt, non-oxidative branch
GO:0004470	malic enzyme activity
GO:0004471	malate dehydrogenase (decarboxylating) (NAD+) activity
GO:0005761	mitochondrial ribosome
GO:0006915	apoptotic process
GO:0004411	homogentisate 1,2-dioxygenase activity
GO:0006559	L-phenylalanine catabolic process
GO:0006570	tyrosine metabolic process
GO:0030001	metal ion transport
GO:0046873	metal ion transmembrane transporter activity
GO:0008495	protoheme IX farnesyltransferase activity
GO:0016765	transferase activity, transferring alkyl or aryl (other than methyl) groups
GO:0048034	heme O biosynthetic process
GO:0006383	transcription by RNA polymerase III
GO:0008080	N-acetyltransferase activity
GO:0016072	rRNA metabolic process
GO:0034470	ncRNA processing
GO:0009263	deoxyribonucleotide biosynthetic process
GO:0004408	holocytochrome-c synthase activity
GO:0005261	monoatomic cation channel activity
GO:0015672	NA
GO:0070008	serine-type exopeptidase activity
GO:0006662	glycerol ether metabolic process
GO:0019835	cytolysis
GO:0008375	acetylglucosaminyltransferase activity
GO:0016740	transferase activity
GO:0003756	protein disulfide isomerase activity
GO:0016671	oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor
GO:0004864	protein phosphatase inhibitor activity
GO:0009966	regulation of signal transduction
GO:0043666	regulation of phosphoprotein phosphatase activity
GO:0006479	protein methylation
GO:0030289	protein phosphatase 4 complex
GO:0004488	methylenetetrahydrofolate dehydrogenase (NADP+) activity
GO:0008318	protein prenyltransferase activity
GO:0018342	protein prenylation
GO:0019206	nucleoside kinase activity
GO:0022625	cytosolic large ribosomal subunit
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:0004521	RNA endonuclease activity
GO:0005664	nuclear origin of replication recognition complex
GO:0015018	galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity
GO:0042274	ribosomal small subunit biogenesis
GO:0016442	RISC complex
GO:0031047	regulatory ncRNA-mediated gene silencing
GO:0003887	DNA-directed DNA polymerase activity
GO:0006261	DNA-templated DNA replication
GO:0008622	epsilon DNA polymerase complex
GO:0032559	adenyl ribonucleotide binding
GO:0016559	peroxisome fission
GO:0009408	response to heat
GO:0031072	heat shock protein binding
GO:1902560	GMP reductase complex
GO:0003920	GMP reductase activity
GO:0009117	nucleotide metabolic process
GO:0004721	phosphoprotein phosphatase activity
GO:0043169	cation binding
GO:0055070	copper ion homeostasis
GO:0046856	phosphatidylinositol dephosphorylation
GO:0003847	1-alkyl-2-acetylglycerophosphocholine esterase activity
GO:0097193	intrinsic apoptotic signaling pathway
GO:0016597	amino acid binding
GO:0016743	carboxyl- or carbamoyltransferase activity
GO:0004070	aspartate carbamoyltransferase activity
GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
GO:0016812	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides
GO:0006807	nitrogen compound metabolic process
GO:0004088	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity
GO:0006541	glutamine metabolic process
